---------------------------
Data Set: Mislabeled-Big
Vanilla Training: 8133 ham and 8584 spam.
Testing: 6000 ham and 6000 spam.
Pollution Training: 2400 ham and 2400 spam.
---------------------------


Unpolluted and Polluted Most Significant Features:
---------------------------
     Unpolluted                              Polluted                                Cluster (Unpolluted) 1 (104, 0)         Cluster (Unpolluted) 2 (0, 0)           Cluster (Unpolluted) 3 (59, 0)          Cluster (Unpolluted) 4 (43, 43)         Cluster (Unpolluted) 5 (66, 0)          Cluster (Unpolluted) 6 (38, 38)         Cluster (Unpolluted) 7 (0, 0)           Cluster (Unpolluted) 8 (58, 58)         Cluster (Unpolluted) 9 (25, 0)          Cluster (Unpolluted) 10 (32, 32)        Cluster (Unpolluted) 11 (35, 0)         Cluster (Unpolluted) 12 (46, 46)        Cluster (Unpolluted) 13 (28, 0)         Cluster (Unpolluted) 14 (15, 15)        Cluster (Unpolluted) 15 (23, 0)         Cluster (Unpolluted) 16 (58, 58)        Cluster (Unpolluted) 17 (32, 0)         Cluster (Unpolluted) 18 (49, 49)        Cluster (Unpolluted) 19 (118, 0)        Cluster (Unpolluted) 20 (86, 86)        Cluster (Unpolluted) 21 (20, 0)         Cluster (Unpolluted) 22 (37, 37)        Cluster (Polluted) 1 (59, 0)            Cluster (Polluted) 2 (59, 59)           Cluster (Polluted) 3 (23, 0)            Cluster (Polluted) 4 (67, 67)           Cluster (Polluted) 5 (60, 0)            Cluster (Polluted) 6 (82, 82)           Cluster (Polluted) 7 (258, 0)           Cluster (Polluted) 8 (121, 121)         Cluster (Polluted) 9 (1611, 0)          Cluster (Polluted) 10 (1255, 1255)      Cluster (Polluted) 11 (3751, 0)         Cluster (Polluted) 12 (1825, 1825)      Cluster (Polluted) 13 (0, 0)            Cluster (Polluted) 14 (17, 17)          Cluster (Polluted) 15 (190, 0)          Cluster (Polluted) 16 (13, 13)          Cluster (Polluted) 17 (3, 0)            Cluster (Polluted) 18 (54, 54)          Cluster (Polluted) 19 (2026, 0)         Cluster (Polluted) 20 (364, 364)        Cluster (Polluted) 21 (991, 0)          Cluster (Polluted) 22 (168, 168)        
118  0.997714575927: witer                   0.997131931166: ciick                   0.994148244473: amonq                   N/A                                     0.980349344978: tickling                0.567163005974: subject: ,              0.652480836785: third                   0.94742568497: doctor                   N/A                                     0.616516644159: free                    0.97619047619: toolset                  0.576035666195: subject:from            0.647207051835: subject:immediate       0.97619047619: subject:lonely           0.994571773221: img                     0.774969309596: modern                  0.954467619907: subject:here            0.574349595307: 500                     0.690874743838: 1252                    0.975134951832: fda                     0.992610837438: logodentity             0.721722488557: subject:again           0.980349344978: subject:nothing         0.844827586207: caruso                  0.605988436484: promotion               0.96511627907: subject:cartridges       0.5: x-mailer:none                      0.95871559633: ???????????              0.995156081808: wrongfuliy              0.908163265306: cancerous               0.940939915816: ega                     0.993468795356: sequoia                 0.997056899935: valium                  0.96511627907: subject:pres             0.964700190125: completeness            0.996936691627: autodesk                N/A                                     0.954467619907: subject:here            0.99504950495: subject:[                0.908163265306: excell                  0.637160549282: check                   0.710939527972: stock                   0.997237569061: illustrator             0.96511627907: honoring                 0.871430518624: cancer                  0.992400683731: medications             
119  0.997737556561: 8834454                 0.997131931166: loo                     0.994148244473: desiqn                  N/A                                     0.980349344978: vibrates                0.567169165076: public                  0.653520672568: installation            0.948919255406: subject: ? =            N/A                                     0.618920238967: subject:charge          0.977657659163: breathing               0.577103726451: made                    0.647207051835: unfold                  0.978053826585: websites                0.994699646643: hoiding                 0.777423519819: chambers                0.955257822215: subject: ?              0.576035666195: subject:from            0.691542016814: paid                    0.97619047619: cllck                    0.992610837438: subject:sexual          0.722401701229: notice                  0.980349344978: vicodln                 0.844827586207: centralizing            0.606289177229: charities               0.96511627907: subject:ciall            0.50315038316: you                      0.95871559633: subject:behind           0.995356037152: avaiiabie               0.908163265306: condor                  0.94145040711: subject: $               0.993468795356: skip:y 10               0.997094899935: sidebacks               0.966738228283: mines                   0.964900451837: relatives               0.996936691627: replicas                N/A                                     0.955066188637: companion               0.995356037152: subject:shipping        0.908163265306: findest                 0.643487146602: skip:p 10               0.716323564286: 171                     0.997271073378: foreigner               0.96511627907: lao                      0.872872085659: save                    0.992610837438: lis                     
120  0.997737556561: 8834464                 0.997131931166: subject:have            0.994296577947: muitiple                N/A                                     0.980349344978: womans                  0.568640390116: skip:c 10               0.654075673554: 125                     0.949438202247: asymmetry               N/A                                     0.623602502586: within                  0.978468899522: bottles                 0.578746604983: others                  0.650065441191: 174                     0.978468899522: mov                     0.994699646643: shail                   0.77868404528: 492                      0.95871559633: subject:wellbeing        0.578843487521: extreme                 0.691819799338: here                    0.97619047619: inkjet                   0.993220421413: prescription            0.724366612122: rock                    0.980381219487: publisher               0.844827586207: charted                 0.608813563126: many                    0.96511627907: subject:discreet         0.503269122693: time                    0.95871559633: subject:discounted       0.995356037152: deveiop                 0.908163265306: ferrer                  0.941807767604: clearance               0.993468795356: yap                     0.997094899935: subject:tabs            0.96746106326: affordable               0.965851171749: correo                  0.996936691627: subject:utf             N/A                                     0.955257822215: subject: ?              0.995540138751: ook                     0.908163265306: guidry                  0.647966557539: user                    0.720290453272: neither                 0.997271073378: otcbb                   0.96511627907: msc                      0.875310997302: subject:warning         0.992610837438: subject:sexual          
121  0.997737556561: affiiiated              0.997131931166: wrongfuily              0.994296577947: rainbow                 N/A                                     0.981927710843: 3107                    0.569821452425: subject: '              0.657838273162: subject:real            0.949438202247: biltmore                N/A                                     0.625163253687: more                    0.978834102166: jokes                   0.579798216784: subject:goals           0.650075161753: asia                    0.978468899522: penile                  0.994699646643: specia                  0.789065739403: offers                  0.960618431165: specially               0.57927199107: skip:d 10                0.693226379457: treated                 0.97619047619: nicotine                 0.993348150967: macromedia              0.725117053606: revert                  0.981440401403: thousand                0.844827586207: copiers                 0.609181832226: road                    0.96511627907: subject:filled           0.503493094791: subject:and             0.95871559633: subject:growing          0.995540138751: littie                  0.908163265306: infirm                  0.942396302748: enlargement             0.99365303244: hop                      0.997131931166: quickbooks              0.967844007913: herein                  0.965851171749: isp                     0.996977837475: linux                   N/A                                     0.956379828049: subject:find            0.995540138751: orgasms                 0.908163265306: jeden                   0.652036507405: sincerely               0.72376799597: cap                      0.997271073378: wel                     0.96511627907: mta                      0.875453177086: subject:our             0.992758010924: 1933                    
122  0.997737556561: aopen                   0.997168030208: confiict                0.994437577256: clalls                  N/A                                     0.981927710843: rotates                 0.570332645776: one                     0.65835189183: aware                    0.949438202247: binuclear               N/A                                     0.626534207083: hey                     0.980349344978: 1149                    0.581578423319: skip:t 10               0.65071084325: read                     0.978468899522: subject: . . . .        0.99504950495: yourseif                 0.79384933886: tag                      0.963001701321: unlimited               0.583739702002: increase                0.693711919593: subject:the             0.978053826585: websites                0.993468795356: vallum                  0.726467783781: subject:job             0.981927710843: faking                  0.844827586207: courtyard               0.611679658867: only                    0.96511627907: subject:laser            0.503519322857: subject:                0.95871559633: ventured                 0.995540138751: width                   0.908163265306: monsoon                 0.943082431568: sti                     0.993827160494: subject: |              0.997168030208: porn                    0.968483536607: 0200                    0.965851171749: trace                   0.997017892644: paliourg                N/A                                     0.956918248151: norton                  0.995540138751: width                   0.908163265306: kindergarten            0.655725519345: visit                   0.72384453044: product                  0.997303774715: erectile                0.96511627907: negro                    0.875485631842: solicitation            0.992845786963: youcheckk               
123  0.997737556561: intellinet              0.997168030208: otcbb                   0.994699646643: checkour                N/A                                     0.981927710843: vibrator                0.570650726304: before                  0.660432015832: 100                     0.949438202247: calendrical             N/A                                     0.627261246255: over                    0.980349344978: piil                    0.584277411889: bankruptcy              0.653037034086: tree                    0.978468899522: subject:finest          0.995156081808: lotto                   0.794080067471: 2100                    0.963248822053: subject: =              0.584277411889: bankruptcy              0.695228952464: upward                  0.978468899522: climax                  0.99365303244: subject:cheapest         0.729604456687: promotions              0.982577917691: pagemaker               0.844827586207: crowder                 0.612102002983: wait                    0.96511627907: subject:pres             0.505299400307: subject: -              0.95871559633: vlcodln                  0.995626822157: emerson                 0.908163265306: royce                   0.943104182353: tired                   0.993827160494: subject:easy            0.997168030208: subject:rolex           0.969323767148: constitutes             0.965851171749: unwanted                0.997017892644: voip                    N/A                                     0.95871559633: cocklebur                0.995626822157: emerson                 0.908163265306: latex                   0.657516743078: protect                 0.725832648144: category                0.997303774715: shlpp                   0.96511627907: sensation                0.876330129373: subject:can             0.993220421413: prescription            
124  0.997737556561: jebel                   0.997168030208: professiona             0.994699646643: endlogo                 N/A                                     0.983039452701: subject:perfect         0.571150372337: our                     0.661484357368: future                  0.949438202247: concave                 N/A                                     0.629002128292: media                   0.980349344978: riches                  0.584971948203: receive                 0.654075673554: 125                     0.978468899522: subject:horny           0.995156081808: shal                    0.795819089189: turnkey                 0.964205152558: subject:save            0.585863525717: its                     0.695933610376: generated               0.978468899522: discrepant              0.99365303244: subject:macromedia       0.733820961764: net                     0.983271375465: filthy                  0.844827586207: ema                     0.612110556659: subject: .              0.96511627907: subject:tion             0.511315060592: report                  0.961773318753: subject:generic         0.995626822157: ment                    0.908163265306: seas                    0.944808851839: creative                0.993991989319: subject:pick            0.997203231821: subject:ready           0.969485542903: subject:soft            0.966414417653: subject:life            0.997056899935: valium                  N/A                                     0.95871559633: danube                   0.995626822157: subject:tablets         0.908163265306: mcneil                  0.671188916329: www                     0.726977246841: integrates              0.997303774715: worid                   0.96511627907: subject:expires          0.87940945309: spur                     0.993273542601: stud                    
125  0.997737556561: targus                  0.997168030208: reiease                 0.994699646643: loqos                   N/A                                     0.983261217178: oem                     0.586629243058: little                  0.662067401746: remote                  0.949438202247: embarassment            N/A                                     0.631165856595: subject:purchase        0.980349344978: subject:yourself        0.585066069726: mayor                   0.6554066151: performance               0.978468899522: subject:inches          0.995258166491: smail                   0.797332902403: hence                   0.96511627907: handbags                 0.586118867618: sections                0.696098168898: must                    0.981927710843: erect                   0.993827160494: contributeto            0.736420059883: gates                   0.983271375465: ilug                    0.844827586207: heinrich                0.614019625245: achieving               0.967266762546: maya                    0.513098529482: including               0.96511627907: ????????                 0.995626822157: subject:excelled        0.908163265306: subject:cases           0.945504711675: cried                   0.994148244473: pil                     0.997237569061: illustrator             0.969501320639: subject:software        0.966418247713: anticipates             0.997094899935: sidebacks               N/A                                     0.95871559633: taffy                    0.995790458372: genera                  0.908163265306: mestre                  0.673351432908: periodically            0.726977246841: subject:added           0.997335701599: softwares               0.96511627907: subject:pres             0.879649088089: nos                     0.993273542601: subject:extra           
126  0.997737556561: viewsonic               0.997203231821: pubiic                  0.994699646643: shiiip                  N/A                                     0.983271375465: dusked                  0.586756966951: subject:skip:c 10       0.662633373134: hours                   0.949438202247: subject:completely      N/A                                     0.633517407494: best                    0.980743912012: mens                    0.586274176667: severe                  0.658235267709: certain                 0.980349344978: shells                  0.995449949444: eading                  0.80141771946: unique                   0.965851171749: subject:design          0.586655099671: subject:please          0.696948288808: range                   0.98196915475: medication               0.993827160494: subject:easy            0.738849033101: mission                 0.983271375465: skip:1 10               0.844827586207: maternity               0.616312245852: subject:skip:p 10       0.968483536607: 0200                    0.513224478153: want                    0.96511627907: murder                   0.995710200191: reieases                0.908163265306: sycamore                0.946536006142: dealer                  0.994148244473: rem                     0.997271073378: otcbb                   0.969798657718: 788                     0.966738228283: subject:man             0.997094899935: subject:tabs            N/A                                     0.95871559633: uce                      0.995790458372: subject:8859            0.908163265306: pao                     0.673563564331: hardware                0.729380703004: features                0.997335701599: subject:pharmacy        0.96511627907: subject:reveals          0.879944433997: ave                     0.993468795356: libido                  
127  0.997760079642: 4176                    0.997237569061: medication              0.994821634062: subject:penis           N/A                                     0.983271375465: stimulator              0.58877922817: subject:new              0.662986995772: subject:with            0.949861263636: subject: !              N/A                                     0.63407543668: release                  0.981927710843: vlagrra                 0.586756966951: subject:skip:c 10       0.661484357368: future                  0.980349344978: subject:enlarge         0.995449949444: subject:won             0.801533468905: cause                   0.965851171749: subject:visual          0.58877922817: subject:new              0.697477608371: apr                     0.982090561292: rocket                  0.993991989319: visibie                 0.738978153899: website                 0.983687657557: samples                 0.844827586207: opener                  0.618461206223: success                 0.969798657718: subject:clearance       0.521756588311: not                     0.96511627907: prey                     0.995710200191: woridwide               0.908163265306: tenacious               0.946847694329: 349                     0.994148244473: sus                     0.997303774715: erectile                0.969798657718: edna                    0.966890461176: financia                0.997131931166: quickbooks              N/A                                     0.959411541811: intuit                  0.995942290352: replica                 0.908163265306: rene                    0.678639091908: products                0.730321459834: united                  0.997335701599: tadalafil               0.96511627907: textual                  0.880761683622: subject:know            0.993468795356: skip:y 10               
128  0.997760079642: compieted               0.997271073378: professionai            0.994888324888: meds                    N/A                                     0.983271375465: subject:click           0.590786131104: application             0.66505442171: subject:today            0.950875936926: subject:than            N/A                                     0.634406438632: subject:head            0.98196915475: medication               0.587679899528: discussions             0.66319669548: events                   0.981927710843: healthier               0.995540138751: inciudes                0.802978646243: ctrl                    0.966414417653: subject:life            0.590477474963: trade                   0.69916225349: kind                     0.983261217178: oem                     0.994148244473: amonq                   0.740461852702: info                    0.9843804876: mrs                       0.844827586207: peachtree               0.619419362598: profit                  0.969798657718: subject:iagra           0.522232761043: being                   0.969798657718: subject:clearance       0.995867768595: aiert                   0.908163265306: undeveloped             0.947074443626: subject:online          0.994296577947: rainbow                 0.997303774715: shlpp                   0.969798657718: mastered                0.96722121019: madam                    0.997168030208: porn                    N/A                                     0.960618431165: specially               0.995942290352: subject:vicodin         0.908163265306: rivas                   0.682322895918: chemicals               0.732434113963: section                 0.997366881217: borland                 0.96511627907: tooth                    0.881314557548: registered              0.993468795356: vallum                  
129  0.997760079642: computron               0.997303774715: beiieve                 0.995156081808: disolve                 N/A                                     0.983271375465: subject:doctors         0.593985704438: tax                     0.667172024414: normal                  0.9516143812: subject:account           N/A                                     0.634406438632: subject:phones          0.983271375465: dusked                  0.590577919823: wells                   0.663568510098: bank                    0.981927710843: subject:largest         0.995540138751: ook                     0.802978646243: lund                    0.969323767148: constitutes             0.591868231589: necessary               0.706297395559: experienced             0.983271375465: subject:mortgage        0.994148244473: buiiding                0.741666693701: appointments            0.985023230252: ingredient              0.844827586207: subject:copier          0.620965535554: machines                0.972695744586: mailings                0.523399927534: lou                     0.970871364446: subject:best            0.995942290352: qmail                   0.908163265306: villain                 0.947729241652: alain                   0.994296577947: subject:2004            0.997303774715: worid                   0.969798657718: subject: {              0.96746106326: affordable               0.997168030208: subject:rolex           N/A                                     0.96511627907: ammoniac                 0.996083550914: quaiity                 0.908163265306: rockin                  0.68613298292: org                      0.733820961764: net                     0.997366881217: quark                   0.966738228283: subject:man             0.882757875089: 0800                    0.99365303244: subject:corel            
130  0.997760079642: exampies                0.997303774715: subject:best            0.995156081808: iogo                    N/A                                     0.983271375465: subject:loans           0.595247167622: service                 0.668151402428: special                 0.952036160026: subject:= ?             N/A                                     0.635062009347: five                    0.983271375465: ioqos                   0.593796418274: real                    0.666840110851: quick                   0.98196915475: medication               0.995710200191: reiiance                0.802978646243: skiing                  0.969501320639: subject:software        0.592516196729: negotiations            0.707024939883: mailbox                 0.984429065744: pussy                   0.994296577947: subject:2004            0.742403088462: private                 0.985692611713: nigeria                 0.844827586207: subject:revolution      0.624477148812: fee                     0.973372781065: netnoteinc              0.528144363965: most                    0.972695744586: mailings                0.995942290352: wysk                    0.911439876428: girls                   0.947729241652: diagnostics             0.994296577947: subject:guaranteed      0.997335701599: softwares               0.969798657718: subject:complete        0.967580367512: freeware                0.997203231821: subject:ready           N/A                                     0.96511627907: bestseller               0.996083550914: subject:adobe           0.908163265306: silica                  0.691819799338: here                    0.734671925454: subject:time            0.997366881217: vain                    0.969798657718: astray                  0.883805251458: prize                   0.993827160494: subject:easy            
131  0.997760079642: imited                  0.997303774715: witer                   0.995156081808: loqo                    N/A                                     0.983271375465: subject:mortgage        0.595287238511: way                     0.670534999129: limited                 0.954158955321: adobe                   N/A                                     0.636055728065: even                    0.984429065744: nepel                   0.595287238511: way                     0.667172024414: normal                  0.983039452701: tablets                 0.995710200191: unscrupulous            0.803404857234: text                    0.969798657718: inance                  0.593796418274: real                    0.707597972772: press                   0.985436893204: regalis                 0.994437577256: clalls                  0.746690113548: subject:control         0.98632218845: postage                  0.844827586207: waving                  0.624997009894: front                   0.973372781065: spamassassin            0.529955878672: business                0.973372781065: subject:hottest         0.996014171833: misieading              0.911675501401: optics                  0.947860444815: enquiries               0.994296577947: tudor                   0.997335701599: subject:pharmacy        0.969798657718: subject:rich            0.967844007913: herein                  0.997237569061: illustrator             N/A                                     0.96511627907: breastplate              0.996150556031: demokritos              0.908163265306: sooo                    0.698517367618: attempts                0.73496705725: securities               0.997397339503: subject: ]              0.969798657718: eden                    0.886215601886: subject: ?              0.994296577947: seu                     
132  0.997782158699: currentiy               0.997335701599: disclaimer              0.995258166491: ioqo                    N/A                                     0.983271375465: subject:para            0.598407446939: com                     0.670537144099: skip:s 10               0.954467619907: subject:here            N/A                                     0.637160549282: check                   0.985384111412: 2005                    0.598407446939: com                     0.670745920743: email                   0.983271375465: sluts                   0.995790458372: genera                  0.804293252946: search                  0.969798657718: subject:protect         0.593985704438: tax                     0.708810601716: 150                     0.985436893204: sashok                  0.994437577256: medlcations             0.746901901286: noting                  0.98632218845: refid                    0.851671960948: life                    0.625163253687: more                    0.973372781065: subject:hassle          0.538391754549: 000                     0.973372781065: v?agra                  0.996083550914: seiected                0.912024948895: millenium               0.947952898135: shops                   0.994437577256: orgasm                  0.997335701599: tadalafil               0.969798657718: subject:solved          0.967930390842: engines                 0.997271073378: foreigner               N/A                                     0.96511627907: crankcase                0.996150556031: dia                     0.908163265306: subject:tag             0.707127435878: mode                    0.73876323282: stand                    0.997397339503: symantec                0.969798657718: edna                    0.886767737074: subject:how             0.994296577947: subject:guaranteed      
133  0.997803806735: actua                   0.997335701599: painter                 0.995356037152: subject:prescripiton    N/A                                     0.984429065744: alis                    0.599287243818: say                     0.670745920743: email                   0.955257822215: subject: ?              N/A                                     0.639873300871: projects                0.985436893204: encrypt                 0.602192875125: your                    0.670980364677: wins                    0.983271375465: subject:$               0.995867768595: aiert                   0.805303332719: easy                    0.972461092067: catchy                  0.60087462831: spent                    0.709062708534: sources                 0.98632218845: unbelivable              0.994437577256: shiiping                0.747598864636: feet                    0.987106017192: 8bit%:7                 0.852533254328: founded                 0.627261246255: over                    0.973372781065: subject:penls           0.538480563706: cooperation             0.973620699113: med                     0.996338486574: availabie               0.912398419047: generic                 0.948088660235: castillo                0.994571773221: bgcolor                 0.997366881217: borland                 0.969798657718: subject:true            0.9681879033: emirates                  0.997271073378: otcbb                   N/A                                     0.96511627907: insuranceiq              0.996150556031: girlfriend              0.908163265306: swears                  0.711036749236: suite                   0.73924628721: banking                  0.997427101201: prlces                  0.969798657718: knife                   0.886850444429: subject:home            0.994437577256: clalls                  
134  0.997803806735: sleeping                0.997335701599: pills                   0.995449949444: brinq                   N/A                                     0.984429065744: clitoris                0.599475532449: bad                     0.671188916329: www                     0.95871559633: 1333                     N/A                                     0.640317472694: res                     0.985436893204: preformatted            0.603125088632: personal                0.671113192833: introduce               0.983271375465: subject:doctors         0.995942290352: materiaily              0.805454703255: ing                     0.97619047619: discon                   0.601749861136: waiting                 0.711982659507: afraid                  0.988431876607: subject:men             0.994571773221: subject:medicine        0.750828864847: novo                    0.987804878049: subject:weight          0.854487690066: assumptions             0.628731930033: seven                   0.978053826585: websites                0.538711167108: ability                 0.974485110433: hottest                 0.996338486574: prozac                  0.916683368085: subject:your            0.948440604338: fifteen                 0.994571773221: img                     0.997366881217: quark                   0.969798657718: twins                   0.968380916822: sma                     0.997303774715: erectile                N/A                                     0.96511627907: renaissance              0.996150556031: iit                     0.908582198727: doctorate               0.719661993226: 149                     0.740509227531: computer                0.997427101201: subject:cialis          0.969798657718: leukemia                0.886924271412: subject: !              0.994571773221: drvgs                   
135  0.997825036249: shlpplng                0.997335701599: soiicitation            0.995449949444: reqards                 N/A                                     0.984429065744: pearls                  0.602192875125: your                    0.672657820124: always                  0.95871559633: subject:notebooks        N/A                                     0.640325551678: order                   0.985436893204: subject:acrobat         0.603617901677: skip:a 10               0.671188916329: www                     0.983271375465: subject:mortgage        0.996014171833: subject:winning         0.81392968165: keywords                 0.97733553621: nowadays                 0.602192875125: your                    0.715336479682: segments                0.988997555012: discreetly              0.994699646643: checkour                0.753548049541: selected                0.988997555012: deluxe                  0.85599401596: newsletter               0.62874124117: address                  0.978468899522: subject:inches          0.542468557884: all                     0.975134951832: fda                     0.996338486574: subject:bait            0.917077215346: charset                 0.949779286906: kbps                    0.994571773221: src                     0.997366881217: vain                    0.969798657718: variant                 0.968483536607: 0200                    0.997303774715: shlpp                   N/A                                     0.965851171749: isp                     0.996338486574: prozac                  0.911675501401: eighteen                0.727450410145: site                    0.741160521577: claims                  0.997427101201: wiii                    0.969798657718: perished                0.888402779853: disclaimer              0.994571773221: subject:medicine        
136  0.99786628734: alcohol                  0.997366881217: ine                     0.995449949444: subject:search          N/A                                     0.984429065744: rabbit                  0.603241431309: company                 0.673978153497: news                    0.962570290085: packaging               N/A                                     0.640696213105: gif                     0.985436893204: subject:breaking        0.605988436484: promotion               0.672514532071: hand                    0.984429065744: cli                     0.996014171833: whiie                   0.814800708655: mailer                  0.977657659163: breathing               0.603617901677: skip:a 10               0.716420255546: double                  0.988997555012: subject:affordable      0.994699646643: endlogo                 0.754109293412: length                  0.988997555012: subject:cable           0.858869634286: reform                  0.629022605943: inc                     0.980349344978: subject: ^              0.543939390866: total                   0.97619047619: ??????                   0.996453900709: winnings                0.918796294177: presently               0.949779286906: scientists              0.994699646643: chemist                 0.997397339503: subject: ]              0.9707931424: 1934                      0.968666927656: invisible               0.997335701599: softwares               N/A                                     0.967266762546: maya                    0.996397117694: cartier                 0.917374395592: nas                     0.731093535502: photo                   0.742755498724: subject:application     0.997484628284: loo                     0.969798657718: pert                    0.888632398178: subject:shot            0.994821634062: subject:penis           
137  0.99786628734: ine                      0.997397339503: natura                  0.995540138751: subject:sex             N/A                                     0.985436893204: jelly                   0.603492497948: skip:i 10               0.674751818294: 300                     0.96511627907: etcmore                  N/A                                     0.644818219898: subject:out             0.98632218845: varou                    0.606078424968: official                0.673563564331: hardware                0.985436893204: cravings                0.996083550914: undervaiued             0.815886332284: cisco                   0.978053826585: websites                0.608946102161: skip:u 10               0.717840604756: simple                  0.988997555012: subject:never           0.994699646643: loqos                   0.757334256104: removed                 0.988997555012: subject:never           0.858882986262: optical                 0.633517407494: best                    0.980349344978: subject:enlarge         0.545900138437: out                     0.97619047619: bonsay                   0.996453900709: xanaax                  0.918925025259: encoding                0.949861263636: subject: !              0.994699646643: depression              0.997397339503: symantec                0.972988146657: biz                     0.969323767148: constitutes             0.997335701599: subject:pharmacy        N/A                                     0.969485542903: subject:soft            0.996397117694: vlagra                  0.91833365323: girl                     0.746685915819: subject:urgent          0.744329986961: estimates               0.997512437811: impotence               0.969798657718: subject:complete        0.889331199481: virus                   0.994821634062: vicodin                 
138  0.99786628734: profiie                  0.997397339503: resuiting               0.995710200191: subject:identity        N/A                                     0.985436893204: subject:enough          0.603617901677: skip:a 10               0.678123449336: party                   0.96511627907: skip:9 10                N/A                                     0.65071084325: read                     0.987106017192: rmm                     0.606289177229: freezes                 0.675202447291: card                    0.98632218845: killers                  0.996215306981: simiiar                 0.817286980362: subject:top             0.978468899522: subject:euro            0.616312245852: subject:skip:p 10       0.719237455421: never                   0.98951048951: subject:lose             0.994821634062: subject:penis           0.75807549082: world                    0.98951048951: datacenter               0.860402466207: worldwide               0.634037676043: family                  0.981927710843: subject:clear           0.547125861104: subject:skip:i 10       0.97619047619: cllck                    0.996760259179: aiways                  0.921141240501: speculative             0.950362149638: hundred                 0.994699646643: todos                   0.997427101201: prlces                  0.973372781065: aba                     0.969501320639: subject:software        0.997335701599: tadalafil               N/A                                     0.969501320639: subject:software        0.996453900709: omega                   0.932715587724: proven                  0.747788108171: searching               0.748368495374: investment              0.997512437811: peopie                  0.969798657718: subject:considered      0.890462736948: advice                  0.994888324888: meds                    
139  0.997886331611: emai                    0.997397339503: subject:available       0.995790458372: convinient              N/A                                     0.985436893204: vibrating               0.605988436484: promotion               0.680510626132: results                 0.965851171749: subject:download        N/A                                     0.652036507405: sincerely               0.9872586547: revamping                 0.606852510994: fields                  0.678123449336: party                   0.98632218845: subject:smart            0.996338486574: subject:bait            0.819475310701: digital                 0.979245727329: subject:want            0.62478663832: subject:into             0.722401701229: notice                  0.989710854416: sex                     0.994821634062: vicodin                 0.759118325025: identified              0.989710854416: sex                     0.860568776536: properties              0.63407543668: release                  0.981927710843: subject:overnight       0.550594697806: 250                     0.978468899522: anal                    0.996806245564: beiiefs                 0.925965625157: untill                  0.950609313192: subject:stock           0.994888324888: meds                    0.997427101201: subject:cialis          0.973372781065: creator                 0.969868989335: nomad                   0.997366881217: borland                 N/A                                     0.969798657718: 1481                    0.996508921645: nero                    0.934782608696: breakfasts              0.748284438549: subject:payment         0.748659521545: nothing                 0.997539639147: href                    0.969798657718: tha                     0.891444535666: yahoo                   0.994908649974: spam                    
140  0.997906002792: aiready                 0.997427101201: wrongfu                 0.995790458372: prlce                   N/A                                     0.98632218845: aicohol                  0.611225207131: subject:email           0.682322895918: ces                     0.966738228283: subject:man             N/A                                     0.6554066151: performance               0.987804878049: buildinq                0.60724191142: welcome                  0.678164268129: opinion                 0.987106017192: subject:teen            0.996453900709: winnings                0.819707528551: settings                0.980349344978: subject:banking         0.625163253687: more                    0.722729428134: considered              0.989714895121: subject:buy             0.994888324888: meds                    0.760108288061: online                  0.989977728285: delux                   0.861793881909: 321                     0.634406438632: pcl                     0.983039452701: subject:her             0.551520413401: dear                    0.978468899522: hydrocodone             0.996936691627: helo                    0.93004414649: 0000                     0.9516143812: unnecessary               0.994908649974: spam                    0.997427101201: wiii                    0.973372781065: dashboard               0.970561709415: subject: *              0.997366881217: quark                   N/A                                     0.969798657718: burly                   0.996508921645: subject:meds            0.934782608696: clarence                0.749109970921: account                 0.749109970921: account                 0.997592295345: xanax                   0.969798657718: variant                 0.891485534149: fat                     0.995156081808: gra                     
141  0.997925311203: biank                   0.997456189938: subject:buy             0.995942290352: countrieswe             N/A                                     0.98632218845: pliant                   0.612110556659: subject: .              0.685053453669: tried                   0.96746106326: affordable               N/A                                     0.656588043858: subject:office          0.987804878049: packaqes                0.607295811889: ordered                 0.678639091908: products                0.988431876607: subject:demokritos      0.996508921645: seil                    0.822248663626: membership              0.980782436048: watches                 0.627261246255: over                    0.72384453044: product                  0.989977728285: lnterest                0.995156081808: gra                     0.765082603469: low                     0.989977728285: listinfo                0.864871762918: personalized            0.638868237256: every                   0.983271375465: subject:\ /             0.552358036166: name                    0.978468899522: subject:agra            0.997017892644: doilars                 0.93037860605: virtue                   0.951674601095: onward                  0.99504950495: subject:[                0.997484628284: loo                     0.973372781065: embargo                 0.970636288368: der                     0.997366881217: vain                    N/A                                     0.969798657718: creators                0.996562261268: piils                   0.934782608696: durability              0.749305203091: 109                     0.749278016306: auto                    0.997617787189: professionai            0.970636288368: der                     0.892158180382: stop                    0.995540138751: orgasms                 
